Subject,Course,Session,Year,Description,Primary Resources,Additional Resources
Literature,Introduction to Literary Studies,Session 1,2025,"Literary analysis, close reading techniques, and understanding genres","Yale University: Introduction to Theory of Literature (https://online.yale.edu/courses/introduction-theory-literature), University of Tübingen: Lecture Course: Introduction to Literary Studies (https://timms.uni-tuebingen.de/tp/UT_20230126_001_ws2223litstud_0001)","NPTEL: Introduction to Literary Theory (https://archive.nptel.ac.in/courses/109/104/109104135/), Harvard University: Masterpieces of World Literature (https://www.harvardonline.harvard.edu/course/masterpieces-world-literature)"
Literature,Survey of English Literature I,Session 2,2026,"Major works and authors from early periods to the 18th century","History of English Language and Literature (IIT Madras) (https://www.classcentral.com/course/swayam-history-of-english-language-and-literature-14108), American Passages: A Literary Survey (https://www.learner.org/series/american-passages-a-literary-survey/)","Introduction to Theory of Literature (Yale) (https://oyc.yale.edu/english/engl-300)"
Literature,Academic Writing and Composition,Session 3,2026,"Essay structure, argumentative writing, and rhetorical analysis","English Composition I (Duke University) (https://www.coursera.org/learn/english-composition), Academic English: Writing Specialization (UC Irvine) (https://www.coursera.org/specializations/academic-english)","Writing in English at University (Lund University) (https://www.coursera.org/learn/writing-english-university), Writing in the Sciences (Stanford University) (https://www.coursera.org/learn/writing-in-the-sciences), College Writing 101 (Udemy) (https://www.udemy.com/course/college-writing-success/)"
Literature,Survey of English Literature II,Session 4,2026,"Romanticism, Victorian literature, and early 20th-century works","","Resources to be determined"
Literature,World Literature,Session 9,2028,"Major works and themes from global literary traditions","","Resources to be determined"
Mathematics,Calculus I,Session 1,2025,"Limits, derivatives, applications of differentiation, and introduction to integrals","MIT OpenCourseWare: 18.01SC Single Variable Calculus (https://ocw.mit.edu/courses/18-01sc-single-variable-calculus-fall-2010/), Khan Academy: Calculus 1 (https://www.khanacademy.org/math/calculus-1)","Professor Leonard's Calculus 1 Full Lectures (https://www.youtube.com/playlist?list=PLF797E961509B4EB5), UNC Chapel Hill: Calculus 1 - Full College Course (https://www.youtube.com/watch?v=HfACrKJ_Y2w)"
Mathematics,Calculus II,Session 2,2026,"Integration techniques, applications of integrals, and infinite series","Professor Leonard's Calculus II Full Lectures (https://www.youtube.com/playlist?list=PLDesaqWTN6EQ2J4vgsN1HyBeRADEh4Cw-), Dr. Valerie Hower's Calculus II Full Lectures (https://www.youtube.com/playlist?list=PLpcwHaLYiaEWLlLEdH2gpK2J7gTAXzB5N)","University of Utah's MATH 1220: Calculus II (https://www.math.utah.edu/lectures/math1220.php), Calculus II Video Lectures by UMass Lowell (https://faculty.uml.edu/Jennifer_GonzalezZugasti/Calculus%20II%20Video%20Lectures/Calculus%20II%20Video%20Lectures.aspx)"
Mathematics,Linear Algebra,Session 3,2026,"Matrices, determinants, vector spaces, and eigenvalues","Dr. Trefor Bazett's Linear Algebra Full Course (https://www.youtube.com/playlist?list=PLHXZ9OQGMqxfUl0tcqPNTJsb7R6BqSLo6), Khan Academy: Linear Algebra (https://www.khanacademy.org/math/linear-algebra)","Gilbert Strang's Linear Algebra Lectures on YouTube (https://www.youtube.com/playlist?list=PL49CF3715CB9EF31D), MIT OpenCourseWare: 18.06 Linear Algebra (https://ocw.mit.edu/courses/18-06-linear-algebra-spring-2010/)"
Mathematics,Discrete Mathematics,Session 3,2026,"Logic, set theory, combinatorics, and graph theory","Discrete Math I by Kimberly Brehm (https://www.youtube.com/playlist?list=PLl-gb0E4MII28GykmtuBXNUNoej-vY5Rz), Discrete Math by Dr. Trefor Bazett (https://www.youtube.com/playlist?list=PLHXZ9OQGMqxersk8fUxiUMSIx0DBqsKZS)","Discrete Mathematics Full Course on YouTube (https://www.youtube.com/watch?v=UwYJUKVc-Hs), Mathematics for Computer Science (MIT OCW) (https://ocw.mit.edu/courses/6-042j-mathematics-for-computer-science-fall-2010/), Discrete Mathematics (Shanghai Jiao Tong University - Coursera) (https://www.coursera.org/learn/discrete-mathematics), Wolfram U: Introduction to Discrete Mathematics (https://www.wolfram.com/wolfram-u/courses/mathematics/introduction-to-discrete-mathematics/)"
Mathematics,Probability and Statistics,Session 4,2026,"Basic probability, statistical methods, and data analysis","MIT OpenCourseWare: Introduction to Probability and Statistics (https://ocw.mit.edu/courses/18-05-introduction-to-probability-and-statistics-spring-2022/), Stat 110: Probability (Harvard University) (https://www.youtube.com/playlist?list=PL2SOU6wwxB0uwwH80KTQ6ht66KWxbzTIo)","Introduction to Probability (Harvard edX) (https://pll.harvard.edu/course/introduction-probability-edx), MIT OpenCourseWare: Probabilistic Systems Analysis (https://ocw.mit.edu/courses/6-041-probabilistic-systems-analysis-and-applied-probability-fall-2010/video_galleries/video-lectures/), Wolfram U: Introduction to Probability (https://www.wolfram.com/wolfram-u/courses/mathematics/introduction-to-probability/)"
Mathematics,Introduction to Abstract Algebra,Session 4,2026,"Groups, rings, fields, and algebraic structures","Modern Algebra (MIT OpenCourseWare) (https://ocw.mit.edu/courses/18-703-modern-algebra-spring-2013/), Introduction to Abstract and Linear Algebra (NPTEL) (https://onlinecourses.nptel.ac.in/noc24_ma58/preview)","Introduction to Abstract Algebra: Group Theory (Udemy) (https://www.udemy.com/course/abstract-algebra-a-crash-course-in-group-theory/), Honors Abstract Algebra (Harvard University) (https://people.math.harvard.edu/~ctm/home/text/class/harvard/55a/08/html/home/course/course.pdf)"
